date,AAPL,IBM,HD,SO,SPX
2000-01-03,0.999,110.799,65.188,13.8555,1455.22
2000-01-04,0.915,107.0381,61.75,14.0078,1399.42
2000-01-05,0.929,110.799,63.0,14.731,1402.11
2000-01-06,0.848,108.8887,60.0,14.7691,1403.45
2000-01-07,0.888,108.4111,63.5,15.0355,1441.47
2000-01-10,0.873,112.7094,63.188,14.9213,1457.6
2000-01-11,0.828,113.6645,61.563,14.8071,1438.56
2000-01-12,0.778,114.1421,61.063,15.0736,1432.25
2000-01-13,0.864,112.9481,62.125,14.8833,1449.68
2000-01-14,0.897,114.2615,61.938,14.6929,1465.15
2000-01-18,0.928,110.5602,60.5,14.2362,1455.14
2000-01-19,0.951,114.1421,61.875,14.5788,1455.9
2000-01-20,1.013,113.6645,60.668,14.5026,1445.57
2000-01-21,0.994,116.0524,60.0,14.9213,1441.36
2000-01-24,0.949,116.0524,58.0,15.302,1401.53
2000-01-25,1.002,113.7839,56.125,15.4542,1410.03
2000-01-26,0.984,111.5154,57.375,15.5304,1404.09
2000-01-27,0.982,108.4111,58.25,15.5684,1398.56
2000-01-28,0.907,106.5605,55.625,15.4162,1360.16
2000-01-31,0.926,107.2172,56.625,15.6446,1394.46
2000-02-01,0.895,105.068,62.0,15.4542,1409.28
2000-02-02,0.882,108.4111,60.75,15.34,1409.12
2000-02-03,0.922,111.8736,60.5,15.1497,1424.97
2000-02-04,0.964,110.4408,61.125,14.8071,1424.37
2000-02-07,1.018,109.0081,59.0,14.8071,1424.24
2000-02-08,1.026,113.4854,61.0,14.8833,1441.72
2000-02-09,1.006,112.1124,58.75,14.7691,1411.7
2000-02-10,1.013,113.7839,59.563,14.9213,1416.83
2000-02-11,0.971,110.202,60.063,14.8452,1387.12
2000-02-14,1.034,110.8587,60.313,14.8452,1389.94
2000-02-15,1.063,111.8736,59.75,14.8071,1402.05
2000-02-16,1.019,110.5602,57.25,14.5407,1387.67
2000-02-17,1.026,111.5154,54.5,14.3123,1388.26
2000-02-18,0.993,107.456,53.75,14.0458,1346.09
2000-02-22,1.016,106.0232,53.625,14.0458,1352.17
2000-02-23,1.038,103.8741,54.813,13.8555,1360.69
2000-02-24,1.029,105.5456,53.063,13.4368,1353.43
2000-02-25,0.985,103.1577,53.0,13.2465,1333.36
2000-02-28,1.011,99.8146,56.813,13.8175,1348.05
2000-02-29,1.023,98.1431,57.5,13.5129,1366.42
2000-03-01,1.164,95.7552,55.625,13.3607,1379.19
2000-03-02,1.089,98.5013,55.125,13.4368,1381.76
2000-03-03,1.143,103.1577,54.5,13.4368,1409.17
2000-03-06,1.122,98.4416,53.875,12.9039,1391.28
2000-03-07,1.097,98.1431,52.375,12.98,1355.62
2000-03-08,1.089,101.4862,52.5,12.8658,1366.7
2000-03-09,1.092,103.1577,55.313,12.8278,1401.69
2000-03-10,1.123,100.531,53.5,12.8658,1395.07
2000-03-13,1.083,102.8592,53.0,12.98,1383.62
2000-03-14,1.02,103.7547,52.313,12.5233,1359.15
2000-03-15,1.038,102.2025,57.0,13.2846,1392.15
2000-03-16,1.085,104.1129,61.5,13.8555,1458.47
2000-03-17,1.116,105.068,63.188,13.3607,1464.47
2000-03-20,1.098,107.6947,63.625,13.2465,1456.63
2000-03-21,1.205,108.4111,63.5,12.98,1493.87
2000-03-22,1.287,109.1275,63.063,12.7516,1500.64
2000-03-23,1.262,110.0827,64.125,13.0562,1527.35
2000-03-24,1.238,115.2167,64.375,13.3226,1527.46
2000-03-27,1.246,121.1864,64.375,13.4368,1523.86
2000-03-28,1.242,117.0076,64.0,13.2846,1507.73
2000-03-29,1.214,113.6645,68.5,13.2465,1508.52
2000-03-30,1.123,117.2464,67.0,13.2084,1487.92
2000-03-31,1.213,113.0675,64.5,13.2465,1498.58
2000-04-03,1.19,116.53,68.0,13.7794,1505.97
2000-04-04,1.137,115.7539,64.625,14.0839,1494.73
2000-04-05,1.164,119.3955,64.0,14.0839,1487.37
2000-04-06,1.118,117.2464,65.938,13.6652,1501.34
2000-04-07,1.176,117.6046,64.125,13.551,1516.35
2000-04-10,1.116,116.6494,66.688,14.1981,1504.46
2000-04-11,1.066,114.0227,67.375,14.3123,1500.59
2000-04-12,0.975,108.6499,66.0,14.6929,1467.17
